package	bookworm	trixie
login.defs	NOT INSTALLED	1:4.17.4-2
logsave	1.47.0-2+b2	NOT INSTALLED
lsb-release	12.0-1	NOT INSTALLED
make	4.3-4.1	4.4.1-2
mawk	1.3.4.20200120-3.1	1.3.4.20250131-1
media-types	10.0.0	13.0.0
mount	2.38.1-5+deb12u3	2.41.5-0+deb13u1
ncurses-base	6.4-4	6.5+20250216-2
ncurses-bin	6.4-4	6.5+20250216-2
netbase	NOT INSTALLED	6.5
nettle-dev:amd64	3.8.1-2	3.10.1-1
openssl	3.0.20-1~deb12u2	3.5.7-1~deb13u2
openssl-provider-legacy	NOT INSTALLED	3.5.7-1~deb13u2
packagekit	1.2.6-5+deb12u1	NOT INSTALLED
passwd	1:4.13+dfsg1-1+deb12u2	1:4.17.4-2
patch	2.7.6-7	2.8-2
perl	5.36.0-7+deb12u3	5.40.1-6+deb13u1
perl-base	5.36.0-7+deb12u3	5.40.1-6+deb13u1
perl-modules-5.36	5.36.0-7+deb12u3	NOT INSTALLED
perl-modules-5.40	NOT INSTALLED	5.40.1-6+deb13u1
polkitd	122-3	NOT INSTALLED
python-apt-common	2.6.0	NOT INSTALLED
python3	3.11.2-1+b1	3.13.5-1
python3-apt	2.6.0	NOT INSTALLED
python3-blinker	1.5-1	NOT INSTALLED
python3-cffi-backend:amd64	1.15.1-5+b1	NOT INSTALLED
python3-cryptography	38.0.4-3+deb12u1	NOT INSTALLED
python3-dbus	1.3.2-4+b1	NOT INSTALLED
python3-dev	3.11.2-1+b1	3.13.5-1
python3-distro	1.8.0-1	NOT INSTALLED
python3-distutils	3.11.2-3	NOT INSTALLED
python3-gi	3.42.2-3+b1	NOT INSTALLED
python3-httplib2	0.20.4-3+deb12u1	NOT INSTALLED
python3-jwt	2.6.0-1+deb12u1	NOT INSTALLED
python3-lazr.restfulclient	0.14.5-1	NOT INSTALLED
python3-lazr.uri	1.0.6-3	NOT INSTALLED
python3-lib2to3	3.11.2-3	NOT INSTALLED
python3-minimal	3.11.2-1+b1	3.13.5-1
python3-oauthlib	3.2.2-1	NOT INSTALLED
python3-pip-whl	23.0.1+dfsg-1	25.1.1+dfsg-1
python3-pkg-resources	66.1.1-1+deb12u2	NOT INSTALLED
python3-psycopg2	2.9.5-1+b1	2.9.10-1+b1
python3-pyparsing	3.0.9-1	NOT INSTALLED
python3-setuptools-whl	66.1.1-1+deb12u2	78.1.1-0.1
python3-six	1.16.0-4	NOT INSTALLED
python3-software-properties	0.99.30-4.1~deb12u1	NOT INSTALLED
python3-venv	3.11.2-1+b1	3.13.5-1
python3-wadllib	1.3.6-4	NOT INSTALLED
python3.11	3.11.2-6+deb12u8	NOT INSTALLED
python3.11-dev	3.11.2-6+deb12u8	NOT INSTALLED
python3.11-minimal	3.11.2-6+deb12u8	NOT INSTALLED
python3.11-venv	3.11.2-6+deb12u8	NOT INSTALLED
python3.13	NOT INSTALLED	3.13.5-2+deb13u5
python3.13-dev	NOT INSTALLED	3.13.5-2+deb13u5
python3.13-minimal	NOT INSTALLED	3.13.5-2+deb13u5
python3.13-venv	NOT INSTALLED	3.13.5-2+deb13u5
readline-common	8.2-1.3	8.2-6
sed	4.9-1+deb12u1	4.9-2+deb13u1
sgml-base	1.31	NOT INSTALLED
software-properties-common	0.99.30-4.1~deb12u1	NOT INSTALLED
sqv	NOT INSTALLED	1.3.0-3+b2
systemd	252.39-1~deb12u2	NOT INSTALLED
systemd-sysv	252.39-1~deb12u2	NOT INSTALLED
sysvinit-utils	3.06-4	3.14-4
tar	1.34+dfsg-1.2+deb12u1	1.35+dfsg-3.1
tzdata	2026b-0+deb12u1	2026c-0+deb13u1
unzip	6.0-28+deb12u1	6.0-29+deb13u1
usr-is-merged	37~deb12u1	NOT INSTALLED
util-linux	2.38.1-5+deb12u3	2.41.5-0+deb13u1
util-linux-extra	2.38.1-5+deb12u3	NOT INSTALLED
xml-core	0.18+nmu1	NOT INSTALLED
xz-utils	5.4.1-1+deb12u2	5.8.1-1+deb13u1
zlib1g-dev:amd64	1:1.2.13.dfsg-1	1:1.3.dfsg+really1.3.1-1+b1
zlib1g:amd64	1:1.2.13.dfsg-1	1:1.3.dfsg+really1.3.1-1+b1
